id,name,year,rural_pop,urban_pop
48,San Jacinto,2000,18165.0,0.0
49,San José La Arada,2000,7702.0,0.0
50,San Juan Ermita,2000,13505.0,0.0
51,El Jícaro,2000,13350.0,0.0
52,Guastatoya,2000,12974.0,9257.0
53,Morazán,2000,23525.0,0.0
54,San Agustín Acasaguastlán,2000,26163.0,0.0
55,San Antonio La Paz,2000,14793.0,0.0
56,San Cristóbal Acasaguastlán,2000,7307.0,0.0
57,Sanarate,2000,37806.0,0.0
58,Sansare,2000,12777.0,0.0
59,Escuintla,2000,7874.0,76421.0
60,Guanagazapa,2000,24492.0,0.0
61,Iztapa,2000,10159.0,4675.0
62,La Democracia,2000,22422.0,0.0
63,La Gomera,2000,93172.0,0.0
64,Masagua,2000,44823.0,3656.0
65,Nueva Concepción,2000,75684.0,0.0
66,Palín,2000,246.0,4610.0
67,San José,2000,31120.0,-2147422732.0
68,San Vicente Pacaya,2000,1316.0,2069.0
69,Santa Lucía Cotzumalguapa,2000,32018.0,9191.0
70,Siquinalá,2000,1921.0,6182.0
71,Tiquisate,2000,73849.0,13523.0
72,Amatitlán,2000,333.0,26301.0
73,Chinautla,2000,2834.0,35027.0
74,Chuarrancho,2000,2251.0,0.0
75,Fraijanes,2000,2134.0,12472.0
76,Mixco,2000,0.0,388841.0
77,Palencia,2000,6420.0,3723.0
78,Petapa,2000,0.0,37534.0
79,San José del Golfo,2000,2813.0,0.0
80,San José Pinula,2000,3810.0,10744.0
81,San Juan Sacatepéquez,2000,17232.0,30308.0
82,San Pedro Ayampuc,2000,2617.0,2459.0
83,San Pedro Sacatepéquez,2000,630.0,6297.0
84,San Raymundo,2000,7210.0,10758.0
85,Santa Catarina Pinula,2000,0.0,31865.0
86,Villa Canales,2000,15308.0,30087.0
87,Villa Nueva,2000,0.0,119033.0
88,ZONA 10,2000,0.0,131997.0
89,ZONA 11,2000,0.0,188443.0
90,ZONA 12,2000,0.0,180233.0
91,ZONA 13,2000,0.0,64409.0
92,ZONA 14,2000,0.0,55966.0
93,ZONA 15,2000,0.0,215532.0
94,ZONA 16,2000,0.0,64185.0
95,ZONA 17,2000,0.0,57162.0
96,ZONA 18,2000,0.0,51203.0
97,ZONA 19,2000,0.0,7765.0
98,ZONA 1,2000,0.0,192933.0
99,ZONA 22,2000,0.0,38147.0
100,ZONA 24,2000,0.0,954.0
101,ZONA 25,2000,0.0,11603.0
102,ZONA 2,2000,0.0,55295.0
103,ZONA 3,2000,0.0,64934.0
104,ZONA 4,2000,0.0,9771.0
105,ZONA 5,2000,0.0,124491.0
106,ZONA 6,2000,0.0,93279.0
107,ZONA 7,2000,0.0,232352.0
108,ZONA 8,2000,0.0,34742.0
109,ZONA 9,2000,0.0,78169.0
110,Aguacatán,2000,17712.0,0.0
111,Chiantla,2000,85053.0,980.0
112,Colotenango,2000,5097.0,0.0
113,Concepción Huista,2000,3621.0,0.0
114,Cuilco,2000,20339.0,0.0
115,Huehuetenango,2000,32345.0,44921.0
116,Jacaltenango,2000,30528.0,0.0
117,La Democracia,2000,75245.0,0.0
118,La Libertad,2000,12126.0,0.0
119,Malacatancito,2000,68120.0,113263.0
120,Nentón,2000,67395.0,0.0
121,San Antonio Huista,2000,2627.0,0.0
122,San Gaspar Ixchil,2000,7020.0,0.0
123,San Ildefonso Ixtahuacán,2000,35061.0,0.0
124,San Juan Atitán,2000,3039.0,0.0
125,San Juan Ixcoy,2000,9949.0,7182.0
126,San Mateo Ixtatán,2000,25100.0,0.0
127,San Miguel Acatán,2000,9361.0,0.0
128,San Pedro Necta,2000,3577.0,0.0
129,San Rafael La Independencia,2000,13163.0,0.0
130,San Rafael Petzal,2000,5842.0,0.0
131,San Sebastián Coatán,2000,12790.0,0.0
132,San Sebastián Huehuetenango,2000,14504.0,0.0
133,Santa Ana Huista,2000,59568.0,0.0
134,Santa Bárbara,2000,32885.0,0.0
135,Santa Cruz Barillas,2000,69080.0,0.0
136,Santa Eulalia,2000,16449.0,0.0
137,Santiago Chimaltenango,2000,2421.0,0.0
138,Soloma,2000,15117.0,4971.0
139,Tectitán,2000,14700.0,0.0
140,Todos Santos Cuchumatán,2000,43585.0,0.0
141,El Estor,2000,57145.0,0.0
142,Livingston,2000,46026.0,0.0
143,Los Amates,2000,50561.0,0.0
144,Morales,2000,64065.0,19446.0
145,NA,2000,1013.0,0.0
146,Puerto Barrios,2000,37358.0,51038.0
147,San Luis,2000,13098.0,0.0
148,Jalapa,2000,70074.0,60000.0
149,Mataquescuintla,2000,6760.0,0.0
150,Monjas,2000,65616.0,0.0
151,San Carlos Alzatate,2000,4348.0,0.0
152,San Luis Jilotepeque,2000,24017.0,0.0
153,San Manuel Chaparrón,2000,17716.0,0.0
154,San Pedro Pinula,2000,57195.0,54.0
155,Agua Blanca,2000,20601.0,0.0
156,Asunción Mita,2000,50926.0,9628.0
157,Atescatempa,2000,12662.0,0.0
158,Comapa,2000,9483.0,0.0
159,Conguaco,2000,8329.0,0.0
160,El Adelanto,2000,2238.0,0.0
161,El Progreso,2000,13274.0,10822.0
162,Jalpatagua,2000,32101.0,0.0
163,Jerez,2000,8415.0,14.0
164,Jutiapa,2000,63511.0,18539.0
165,Moyuta,2000,104057.0,0.0
166,Pasaco,2000,32801.0,0.0
167,Quezada,2000,23782.0,0.0
168,San José Acatempa,2000,17782.0,0.0
169,Santa Catarina Mita,2000,15631.0,0.0
170,Yupiltepeque,2000,6398.0,0.0
171,Zapotitlán,2000,3663.0,0.0
172,Dolores,2000,22895.0,0.0
173,Flores,2000,26472.0,12137.0
174,La Libertad,2000,88110.0,0.0
175,Melchor de Mencos,2000,24247.0,0.0
176,Poptún,2000,13636.0,0.0
177,San Andrés,2000,43453.0,123.0
178,San Benito,2000,4720.0,871.0
179,San Francisco,2000,14725.0,0.0
180,San José,2000,8770.0,174.0
181,San Luis,2000,22996.0,0.0
182,Santa Ana,2000,26912.0,305.0
183,Sayaxché,2000,-2147447290.0,0.0
184,Almolonga,2000,0.0,4863.0
185,Cabricán,2000,30313.0,0.0
186,Cajolá,2000,7554.0,32.0
187,Cantel,2000,2081.0,19451.0
188,Coatepeque,2000,103589.0,48896.0
189,Colomba,2000,23686.0,142.0
190,Concepción Chiquirichapa,2000,2039.0,0.0
191,El Palmar,2000,9537.0,0.0
192,Flores Costa Cuca,2000,13384.0,957.0
193,Génova,2000,29165.0,0.0
194,Huitán,2000,18726.0,0.0
195,La Esperanza,2000,0.0,16203.0
196,Olintepeque,2000,0.0,38703.0
197,Ostuncalco,2000,20737.0,20473.0
198,Palestina de Los Altos,2000,14674.0,0.0
199,Quetzaltenango,2000,4567.0,170583.0
200,Salcajá,2000,0.0,30101.0
201,San Carlos Sija,2000,73589.0,0.0
202,San Francisco La Unión,2000,19596.0,2007.0
203,San Martín Sacatepéquez,2000,14352.0,0.0
204,San Mateo,2000,224.0,3273.0
205,San Miguel Sigüilá,2000,967.0,13220.0
206,Sibilia,2000,20781.0,0.0
207,Zunil,2000,6919.0,62.0
208,Canillá,2000,12739.0,0.0
209,Chajul,2000,23896.0,0.0
210,Chicaman,2000,31484.0,0.0
211,Chiché,2000,23256.0,1642.0
212,Chichicastenango,2000,21398.0,0.0
213,Chinique,2000,8585.0,0.0
214,Cunén,2000,21260.0,0.0
215,Ixcán,2000,147098.0,0.0
216,Joyabaj,2000,43969.0,0.0
217,Nebaj,2000,59057.0,0.0
218,Pachalúm,2000,7425.0,0.0
219,Patzité,2000,17741.0,165.0
220,Sacapulas,2000,20786.0,0.0
221,San Andrés Sajcabajá,2000,16058.0,0.0
222,San Antonio Ilotenango,2000,64285.0,8585.0
223,San Bartolomé Jocotenango,2000,8781.0,0.0
224,San Juan Cotzal,2000,8010.0,0.0
225,San Pedro Jocopilas,2000,37816.0,0.0
226,Santa Cruz del Quiché,2000,13981.0,30370.0
227,Uspantán,2000,40070.0,0.0
228,Zacualpa,2000,8194.0,0.0
229,Champerico,2000,-8589893719.0,0.0
230,El Asintal,2000,22554.0,0.0
231,Nuevo San Carlos,2000,17500.0,3901.0
232,Retalhuleu,2000,-109521605603.0,44058.0
233,San Andrés Villa Seca,2000,-2147403119.0,989.0
234,San Felipe,2000,2443.0,6921.0
235,San Martín Zapotitlán,2000,107.0,2871.0
236,San Sebastián,2000,0.0,12014.0
237,Santa Cruz Muluá,2000,6891.0,3562.0
238,Alotenango,2000,2544.0,2700.0
239,Antigua Guatemala,2000,69.0,59854.0
240,Ciudad Vieja,2000,104.0,12644.0
241,Jocotenango,2000,0.0,6711.0
242,Magdalena Milpas Altas,2000,40.0,5428.0
243,Pastores,2000,255.0,27439.0
244,San Antonio Aguas Calientes,2000,0.0,8421.0
245,San Bartolomé Milpas Altas,2000,0.0,8631.0
246,San Lucas Sacatepéquez,2000,0.0,23532.0
247,San Miguel Dueñas,2000,2928.0,7733.0
248,Santa Catarina Barahona,2000,140.0,6887.0
249,Santa Lucía Milpas Altas,2000,0.0,16089.0
250,Santa María de Jesús,2000,4706.0,449.0
251,Santiago Sacatepéquez,2000,0.0,21814.0
252,Santo Domingo Xenacoj,2000,801.0,3148.0
253,Sumpango,2000,1934.0,18048.0
254,Ayutla,2000,-2147465075.0,31856.0
255,Catarina,2000,40949.0,3543.0
256,Comitancillo,2000,30652.0,0.0
257,Concepción Tutuapa,2000,50330.0,0.0
258,El Quetzal,2000,6129.0,14543.0
259,El Rodeo,2000,23200.0,0.0
260,El Tumbador,2000,34117.0,0.0
261,Esquipulas Palo Gordo,2000,8846.0,0.0
262,Ixchiguan,2000,15071.0,0.0
263,La Reforma,2000,6353.0,334.0
264,Malacatán,2000,17816.0,23978.0
265,Nuevo Progreso,2000,23079.0,0.0
266,Ocos,2000,-17179805690.0,9938.0
267,Pajapita,2000,40384.0,5193.0
268,Río Blanco,2000,34740.0,0.0
269,San Antonio Sacatepéquez,2000,31841.0,403.0
270,San Cristobal Cucho,2000,11433.0,0.0
271,San José Ojetenam,2000,17210.0,0.0
272,San Lorenzo,2000,46050.0,300.0
273,San Marcos,2000,21202.0,31653.0
274,San Miguel Ixtahuacán,2000,18142.0,0.0
275,San Pablo,2000,14203.0,2232.0
276,San Pedro Sacatepéquez,2000,6048.0,48322.0
277,San Rafaél Pie de la Cuesta,2000,17511.0,0.0
278,San Sibinal,2000,8315.0,0.0
279,Sipacapa,2000,16007.0,0.0
280,Tacaná,2000,85116.0,0.0
281,Tajumulco,2000,32926.0,0.0
282,Tejutla,2000,46667.0,0.0
283,Barberena,2000,17033.0,8041.0
284,Casillas,2000,11488.0,0.0
285,Chiquimulilla,2000,99165.0,0.0
286,Cuilapa,2000,11674.0,3496.0
287,Guazacapán,2000,13937.0,0.0
288,Nueva Santa Rosa,2000,10998.0,0.0
289,Oratorio,2000,27124.0,0.0
290,Pueblo Nuevo Viñas,2000,10576.0,0.0
291,San Juan Tecuaco,2000,4015.0,0.0
292,San Rafaél Las Flores,2000,7017.0,0.0
293,Santa Cruz Naranjo,2000,9804.0,0.0
294,Santa María Ixhuatán,2000,10548.0,0.0
295,Santa Rosa de Lima,2000,10369.0,0.0
296,Taxisco,2000,101834.0,0.0
297,Concepción,2000,2979.0,625.0
298,Nahualá,2000,31331.0,210.0
299,NA,2000,15016.0,4884.0
300,Panajachel,2000,0.0,37514.0
301,San Andrés Semetabaj,2000,14270.0,11804.0
302,San Antonio Palopó,2000,11352.0,0.0
303,San José Chacayá,2000,7114.0,70.0
304,San Juan La Laguna,2000,8144.0,0.0
305,San Lucas Tolimán,2000,9402.0,0.0
306,San Marcos La Laguna,2000,148.0,0.0
307,San Pablo La Laguna,2000,3471.0,0.0
308,San Pedro La Laguna,2000,2105.0,0.0
309,Santa Catarina Ixtahuacan,2000,16460.0,470.0
310,Santa Catarina Palopó,2000,2563.0,392.0
311,Santa Clara La Laguna,2000,4094.0,0.0
312,Santa Cruz La Laguna,2000,701.0,137.0
313,Santa Lucía Utatlán,2000,26387.0,0.0
314,Santa María Visitación,2000,6815.0,0.0
315,Santiago Atitlán,2000,14380.0,0.0
316,Sololá,2000,70536.0,23453.0
317,Chicacao,2000,29138.0,27.0
318,Cuyotenango,2000,45534.0,8411.0
319,Mazatenango,2000,1500.0,64727.0
320,Patulul,2000,16844.0,0.0
321,Pueblo Nuevo,2000,2492.0,0.0
322,Río Bravo,2000,15862.0,0.0
323,Samayac,2000,2133.0,4264.0
324,San Antonio Suchitepéquez,2000,11641.0,0.0
325,San Bernardino,2000,1353.0,1399.0
326,San Francisco Zapotitlán,2000,1456.0,29.0
327,San Gabriel,2000,216.0,8027.0
328,San José El Idolo,2000,17945.0,0.0
329,San Juan Bautista,2000,3149.0,0.0
330,San Lorenzo,2000,64159.0,0.0
331,San Miguel Panán,2000,3101.0,0.0
332,San Pablo Jocopilas,2000,2108.0,1295.0
333,Santa Bárbara,2000,28702.0,0.0
334,Santo Domingo Suchitepequez,2000,82017.0,61.0
335,Santo Tomás La Unión,2000,5527.0,0.0
336,Zunilito,2000,8774.0,0.0
337,Momostenango,2000,130772.0,34.0
338,San Andrés Xecul,2000,501.0,14480.0
339,San Bartolo,2000,27584.0,0.0
340,San Cristóbal Totonicapán,2000,2413.0,21769.0
341,San Francisco El Alto,2000,19906.0,10785.0
342,Santa Lucía La Reforma,2000,36959.0,0.0
343,Santa María Chiquimula,2000,55481.0,34.0
344,Totonicapán,2000,12490.0,34762.0
345,Cabañas,2000,6699.0,0.0
346,Estanzuela,2000,6073.0,2442.0
347,Gualán,2000,97195.0,0.0
348,Huité,2000,6269.0,0.0
349,La Unión,2000,9405.0,0.0
350,Río Hondo,2000,26700.0,2635.0
351,San Diego,2000,15715.0,0.0
352,Teculután,2000,21268.0,0.0
353,Usumatlán,2000,8247.0,0.0
354,Zacapa,2000,29605.0,24946.0
1,Chahal,2001,10042.0,0.0
2,Chisec,2001,103551.0,0.0
3,Cobán,2001,85890.0,26992.0
4,Fray Bartolomé de las Casas,2001,48284.0,0.0
5,Lanquín,2001,31410.0,0.0
6,Panzós,2001,87543.0,0.0
7,San Cristóbal Verapaz,2001,31004.0,0.0
8,San Juan Chamelco,2001,32963.0,0.0
9,San Pedro Carchá,2001,204014.0,7745.0
10,Santa Cruz Verapaz,2001,28938.0,0.0
11,Santa María Cahabón,2001,22136.0,0.0
12,Senahú,2001,85846.0,0.0
13,Tactic,2001,31871.0,0.0
14,Tamahú,2001,10816.0,0.0
15,Tucurú,2001,22924.0,0.0
16,Cubulco,2001,60248.0,0.0
17,Granados,2001,17627.0,0.0
18,Purulhá,2001,23374.0,0.0
19,Rabinal,2001,28465.0,0.0
20,Salamá,2001,46250.0,16212.0
21,San Jerónimo,2001,31332.0,0.0
22,San Miguel Chicaj,2001,17116.0,0.0
23,Santa Cruz El Chol,2001,12145.0,0.0
24,Acatenango,2001,11385.0,0.0
25,Chimaltenango,2001,584.0,44455.0
26,Comalapa,2001,2211.0,7155.0
27,El Tejar,2001,2595.0,29921.0
28,Parramos,2001,7921.0,3026.0
29,Patzún,2001,23173.0,24772.0
30,Patzicía,2001,36672.0,473.0
31,Pochuta,2001,8188.0,0.0
32,San Andrés Itzapa,2001,9717.0,8913.0
33,San José Poaquil,2001,26904.0,0.0
34,San Martín Jilotepeque,2001,79810.0,3699.0
35,Santa Apolonia,2001,11792.0,0.0
36,Santa Cruz Balanyá,2001,3776.0,0.0
37,Tecpán Guatemala,2001,65913.0,149.0
38,Yepocapa,2001,23385.0,0.0
39,Zaragoza,2001,14855.0,3516.0
40,Camotán,2001,41353.0,0.0
41,Chiquimula,2001,37173.0,63620.0
42,Concepción Las Minas,2001,16168.0,0.0
43,Esquipulas,2001,30197.0,10758.0
44,Ipala,2001,29605.0,0.0
45,Jocotán,2001,49858.0,0.0
46,Olopa,2001,19646.0,0.0
47,Quezaltepeque,2001,24914.0,0.0
48,San Jacinto,2001,13369.0,0.0
49,San José La Arada,2001,6385.0,0.0
50,San Juan Ermita,2001,13583.0,0.0
51,El Jícaro,2001,11355.0,0.0
52,Guastatoya,2001,11319.0,7961.0
53,Morazán,2001,15701.0,0.0
54,San Agustín Acasaguastlán,2001,37720.0,0.0
55,San Antonio La Paz,2001,12306.0,0.0
56,San Cristóbal Acasaguastlán,2001,6711.0,0.0
57,Sanarate,2001,40869.0,0.0
58,Sansare,2001,11826.0,0.0
59,Escuintla,2001,14074.0,135777.0
60,Guanagazapa,2001,19666.0,0.0
61,Iztapa,2001,4886.0,2547.0
62,La Democracia,2001,12346.0,0.0
63,La Gomera,2001,64402.0,0.0
64,Masagua,2001,32501.0,2556.0
65,Nueva Concepción,2001,99518.0,0.0
66,Palín,2001,1690.0,43538.0
67,San José,2001,17368.0,-2147449921.0
68,San Vicente Pacaya,2001,3247.0,16726.0
69,Santa Lucía Cotzumalguapa,2001,56989.0,19923.0
70,Siquinalá,2001,2708.0,8840.0
71,Tiquisate,2001,45231.0,8394.0
72,Amatitlán,2001,488.0,122487.0
73,Chinautla,2001,14343.0,101813.0
74,Chuarrancho,2001,13013.0,0.0
75,Fraijanes,2001,2912.0,18322.0
76,Mixco,2001,0.0,455466.0
77,Palencia,2001,14242.0,12584.0
78,Petapa,2001,0.0,78953.0
79,San José del Golfo,2001,4905.0,0.0
80,San José Pinula,2001,8929.0,18508.0
81,San Juan Sacatepéquez,2001,45605.0,72995.0
82,San Pedro Ayampuc,2001,14518.0,14521.0
83,San Pedro Sacatepéquez,2001,979.0,13656.0
84,San Raymundo,2001,20081.0,31091.0
85,Santa Catarina Pinula,2001,0.0,75558.0
86,Villa Canales,2001,23575.0,45496.0
87,Villa Nueva,2001,0.0,218898.0
88,ZONA 10,2001,0.0,85643.0
89,ZONA 11,2001,0.0,122051.0
90,ZONA 12,2001,0.0,115075.0
91,ZONA 13,2001,0.0,41791.0
92,ZONA 14,2001,0.0,36314.0
93,ZONA 15,2001,0.0,144650.0
94,ZONA 16,2001,0.0,41600.0
95,ZONA 17,2001,0.0,35233.0
96,ZONA 18,2001,0.0,43651.0
97,ZONA 19,2001,0.0,9845.0
98,ZONA 1,2001,0.0,125182.0
99,ZONA 22,2001,0.0,73166.0
100,ZONA 24,2001,0.0,515.0
101,ZONA 25,2001,0.0,15780.0
102,ZONA 2,2001,0.0,41086.0
103,ZONA 3,2001,0.0,42130.0
104,ZONA 4,2001,0.0,6340.0
105,ZONA 5,2001,0.0,80774.0
106,ZONA 6,2001,0.0,60522.0
107,ZONA 7,2001,0.0,151943.0
108,ZONA 8,2001,0.0,22541.0
109,ZONA 9,2001,0.0,50719.0
110,Aguacatán,2001,27804.0,0.0
111,Chiantla,2001,54746.0,596.0
112,Colotenango,2001,17370.0,0.0
113,Concepción Huista,2001,7971.0,0.0
114,Cuilco,2001,61860.0,0.0
115,Huehuetenango,2001,39246.0,27770.0
116,Jacaltenango,2001,33824.0,0.0
117,La Democracia,2001,48499.0,0.0
118,La Libertad,2001,31893.0,0.0
119,Malacatancito,2001,30587.0,74159.0
120,Nentón,2001,-17179841853.0,0.0
121,San Antonio Huista,2001,5353.0,0.0
122,San Gaspar Ixchil,2001,16063.0,0.0
123,San Ildefonso Ixtahuacán,2001,80626.0,0.0
124,San Juan Atitán,2001,3836.0,0.0
125,San Juan Ixcoy,2001,10720.0,9156.0
126,San Mateo Ixtatán,2001,25365.0,0.0
127,San Miguel Acatán,2001,18642.0,0.0
128,San Pedro Necta,2001,11019.0,0.0
129,San Rafael La Independencia,2001,21180.0,0.0
130,San Rafael Petzal,2001,9491.0,0.0
131,San Sebastián Coatán,2001,14751.0,0.0
132,San Sebastián Huehuetenango,2001,13376.0,0.0
133,Santa Ana Huista,2001,44512.0,0.0
134,Santa Bárbara,2001,42684.0,0.0
135,Santa Cruz Barillas,2001,62175.0,0.0
136,Santa Eulalia,2001,24799.0,0.0
137,Santiago Chimaltenango,2001,7034.0,0.0
138,Soloma,2001,21933.0,6976.0
139,Tectitán,2001,31196.0,0.0
140,Todos Santos Cuchumatán,2001,41957.0,0.0
141,El Estor,2001,41901.0,0.0
142,Livingston,2001,-6442400162.0,0.0
143,Los Amates,2001,51154.0,0.0
144,Morales,2001,89251.0,30970.0
145,NA,2001,-2147482659.0,0.0
146,Puerto Barrios,2001,-2147445107.0,49151.0
147,San Luis,2001,13795.0,0.0
148,Jalapa,2001,70674.0,55175.0
149,Mataquescuintla,2001,30201.0,0.0
150,Monjas,2001,39125.0,0.0
151,San Carlos Alzatate,2001,7334.0,0.0
152,San Luis Jilotepeque,2001,27157.0,0.0
153,San Manuel Chaparrón,2001,17443.0,0.0
154,San Pedro Pinula,2001,59066.0,50.0
155,Agua Blanca,2001,15452.0,0.0
156,Asunción Mita,2001,56114.0,10550.0
157,Atescatempa,2001,17748.0,0.0
158,Comapa,2001,27999.0,0.0
159,Conguaco,2001,9360.0,0.0
160,El Adelanto,2001,6080.0,0.0
161,El Progreso,2001,15745.0,13156.0
162,Jalpatagua,2001,35352.0,0.0
163,Jerez,2001,6614.0,18.0
164,Jutiapa,2001,79244.0,23187.0
165,Moyuta,2001,41815.0,0.0
166,Pasaco,2001,8765.0,0.0
167,Quezada,2001,31456.0,0.0
168,San José Acatempa,2001,14202.0,0.0
169,Santa Catarina Mita,2001,35629.0,0.0
170,Yupiltepeque,2001,17550.0,0.0
171,Zapotitlán,2001,10888.0,0.0
172,Dolores,2001,26667.0,0.0
173,Flores,2001,25474.0,17276.0
174,La Libertad,2001,67924.0,0.0
175,Melchor de Mencos,2001,35192.0,0.0
176,Poptún,2001,26814.0,0.0
177,San Andrés,2001,-2147468694.0,22.0
178,San Benito,2001,7495.0,1605.0
179,San Francisco,2001,10762.0,0.0
180,San José,2001,3740.0,178.0
181,San Luis,2001,54309.0,0.0
182,Santa Ana,2001,15460.0,383.0
183,Sayaxché,2001,-2147449698.0,0.0
184,Almolonga,2001,0.0,4081.0
185,Cabricán,2001,48985.0,0.0
186,Cajolá,2001,8504.0,11.0
187,Cantel,2001,4992.0,42991.0
188,Coatepeque,2001,82079.0,35848.0
189,Colomba,2001,35629.0,148.0
190,Concepción Chiquirichapa,2001,6166.0,0.0
191,El Palmar,2001,26588.0,0.0
192,Flores Costa Cuca,2001,12024.0,584.0
193,Génova,2001,29569.0,0.0
194,Huitán,2001,15976.0,0.0
195,La Esperanza,2001,0.0,8545.0
196,Olintepeque,2001,0.0,37437.0
197,Ostuncalco,2001,38807.0,24037.0
198,Palestina de Los Altos,2001,20733.0,0.0
199,Quetzaltenango,2001,5382.0,156267.0
200,Salcajá,2001,0.0,32352.0
201,San Carlos Sija,2001,53758.0,0.0
202,San Francisco La Unión,2001,13981.0,1303.0
203,San Martín Sacatepéquez,2001,34475.0,0.0
204,San Mateo,2001,268.0,1168.0
205,San Miguel Sigüilá,2001,341.0,5838.0
206,Sibilia,2001,22238.0,0.0
207,Zunil,2001,13790.0,100.0
208,Canillá,2001,16852.0,0.0
209,Chajul,2001,23139.0,0.0
210,Chicaman,2001,9210.0,0.0
211,Chiché,2001,44068.0,4404.0
212,Chichicastenango,2001,66983.0,0.0
213,Chinique,2001,10493.0,0.0
214,Cunén,2001,39877.0,0.0
215,Ixcán,2001,43341.0,0.0
216,Joyabaj,2001,93966.0,0.0
217,Nebaj,2001,71651.0,0.0
218,Pachalúm,2001,20716.0,0.0
219,Patzité,2001,49217.0,57.0
220,Sacapulas,2001,25370.0,0.0
221,San Andrés Sajcabajá,2001,14871.0,0.0
222,San Antonio Ilotenango,2001,35702.0,3326.0
223,San Bartolomé Jocotenango,2001,5172.0,0.0
224,San Juan Cotzal,2001,36758.0,0.0
225,San Pedro Jocopilas,2001,22874.0,0.0
226,Santa Cruz del Quiché,2001,39127.0,33270.0
227,Uspantán,2001,14561.0,0.0
228,Zacualpa,2001,15074.0,0.0
229,Champerico,2001,-8589902789.0,0.0
230,El Asintal,2001,33612.0,0.0
231,Nuevo San Carlos,2001,33400.0,9333.0
232,Retalhuleu,2001,-111669110341.0,44280.0
233,San Andrés Villa Seca,2001,-2147421162.0,730.0
234,San Felipe,2001,5292.0,6545.0
235,San Martín Zapotitlán,2001,80.0,2067.0
236,San Sebastián,2001,0.0,25380.0
237,Santa Cruz Muluá,2001,7312.0,3607.0
238,Alotenango,2001,5458.0,5581.0
239,Antigua Guatemala,2001,70.0,45037.0
240,Ciudad Vieja,2001,205.0,6978.0
241,Jocotenango,2001,0.0,3315.0
242,Magdalena Milpas Altas,2001,45.0,6045.0
243,Pastores,2001,566.0,25891.0
244,San Antonio Aguas Calientes,2001,0.0,3323.0
245,San Bartolomé Milpas Altas,2001,0.0,8760.0
246,San Lucas Sacatepéquez,2001,0.0,20275.0
247,San Miguel Dueñas,2001,2169.0,3051.0
248,Santa Catarina Barahona,2001,600.0,3046.0
249,Santa Lucía Milpas Altas,2001,0.0,18682.0
250,Santa María de Jesús,2001,14341.0,2458.0
251,Santiago Sacatepéquez,2001,0.0,33813.0
252,Santo Domingo Xenacoj,2001,5397.0,24380.0
253,Sumpango,2001,2935.0,38419.0
254,Ayutla,2001,-2147476575.0,12197.0
255,Catarina,2001,18928.0,2220.0
256,Comitancillo,2001,25754.0,0.0
257,Concepción Tutuapa,2001,87661.0,0.0
258,El Quetzal,2001,15733.0,21595.0
259,El Rodeo,2001,13761.0,0.0
260,El Tumbador,2001,59694.0,0.0
261,Esquipulas Palo Gordo,2001,5368.0,0.0
262,Ixchiguan,2001,12067.0,0.0
263,La Reforma,2001,14995.0,421.0
264,Malacatán,2001,39583.0,48896.0
265,Nuevo Progreso,2001,35343.0,0.0
266,Ocos,2001,-17179850618.0,2874.0
267,Pajapita,2001,25886.0,3434.0
268,Río Blanco,2001,12018.0,0.0
269,San Antonio Sacatepéquez,2001,31175.0,1115.0
